#N,type,distance,time
844,DOUBLE,0.0,109
849,DOUBLE,0.0,71
850,DOUBLE,0.0,71
853,DOUBLE,0.0,53
852,DOUBLE,0.0,68
851,DOUBLE,0.0,89
856,DOUBLE,0.0,77
855,DOUBLE,0.0,83
859,DOUBLE,0.0,61
857,DOUBLE,0.0,79
854,DOUBLE,0.0,96
858,DOUBLE,0.0,68
861,DOUBLE,0.0,49
860,DOUBLE,0.0,92
865,DOUBLE,0.0,69
862,DOUBLE,0.0,122
863,DOUBLE,0.0,50
867,DOUBLE,0.0,61
866,DOUBLE,0.0,82
870,DOUBLE,0.0,67
864,DOUBLE,0.0,54
868,DOUBLE,0.0,81
871,DOUBLE,0.0,55
874,DOUBLE,0.0,66
869,DOUBLE,0.0,53
873,DOUBLE,0.0,50
875,DOUBLE,0.0,85
872,DOUBLE,0.0,61
877,DOUBLE,0.0,120
876,DOUBLE,0.0,108
880,DOUBLE,0.0,65
878,DOUBLE,0.0,67
879,DOUBLE,0.0,126
882,DOUBLE,0.0,53
883,DOUBLE,0.0,44
881,DOUBLE,0.0,50
884,DOUBLE,0.0,56
887,DOUBLE,0.0,64
885,DOUBLE,0.0,88
886,DOUBLE,0.0,148
888,DOUBLE,0.0,113
890,DOUBLE,0.0,108
891,DOUBLE,0.0,69
889,DOUBLE,0.0,119
892,DOUBLE,0.0,90
895,DOUBLE,0.0,103
894,DOUBLE,0.0,84
897,DOUBLE,0.0,61
893,DOUBLE,0.0,66
898,DOUBLE,0.0,70
896,DOUBLE,0.0,147
900,DOUBLE,0.0,92
902,DOUBLE,0.0,88
901,DOUBLE,0.0,115
899,DOUBLE,0.0,61
904,DOUBLE,0.0,70
905,DOUBLE,0.0,55
909,DOUBLE,0.0,111
903,DOUBLE,0.0,102
907,DOUBLE,0.0,49
910,DOUBLE,0.0,73
912,DOUBLE,0.0,62
906,DOUBLE,0.0,94
908,DOUBLE,0.0,88
913,DOUBLE,0.0,74
914,DOUBLE,0.0,70
918,DOUBLE,0.0,63
917,DOUBLE,0.0,74
911,DOUBLE,0.0,72
919,DOUBLE,0.0,77
920,DOUBLE,0.0,77
915,DOUBLE,0.0,93
916,DOUBLE,0.0,87
922,DOUBLE,0.0,103
923,DOUBLE,0.0,105
925,DOUBLE,0.0,101
926,DOUBLE,0.0,134
927,DOUBLE,0.0,89
929,DOUBLE,0.0,97
921,DOUBLE,0.0,73
930,DOUBLE,0.0,90
933,DOUBLE,0.0,59
