#N,type,distance,time
840,DOUBLE,0.0,9463
845,DOUBLE,0.0,5702
846,DOUBLE,0.0,16050
849,DOUBLE,0.0,8385
851,DOUBLE,0.0,7389
848,DOUBLE,0.0,12148
850,DOUBLE,0.0,9588
847,DOUBLE,0.0,8272
853,DOUBLE,0.0,4445
852,DOUBLE,0.0,11349
857,DOUBLE,0.0,6296
858,DOUBLE,0.0,9134
855,DOUBLE,0.0,7152
854,DOUBLE,0.0,11959
856,DOUBLE,0.0,11537
859,DOUBLE,0.0,13447
863,DOUBLE,0.0,5678
861,DOUBLE,0.0,4019
860,DOUBLE,0.0,19959
862,DOUBLE,0.0,10039
864,DOUBLE,0.0,10797
866,DOUBLE,0.0,12369
868,DOUBLE,0.0,9922
869,DOUBLE,0.0,5098
865,DOUBLE,0.0,7096
867,DOUBLE,0.0,8241
870,DOUBLE,0.0,12999
873,DOUBLE,0.0,6023
871,DOUBLE,0.0,16784
872,DOUBLE,0.0,20684
875,DOUBLE,0.0,12502
877,DOUBLE,0.0,5937
876,DOUBLE,0.0,10936
874,DOUBLE,0.0,11259
879,DOUBLE,0.0,9907
881,DOUBLE,0.0,4332
880,DOUBLE,0.0,8440
878,DOUBLE,0.0,11387
885,DOUBLE,0.0,6718
884,DOUBLE,0.0,18003
882,DOUBLE,0.0,24594
887,DOUBLE,0.0,11733
886,DOUBLE,0.0,12712
889,DOUBLE,0.0,7622
883,DOUBLE,0.0,21439
888,DOUBLE,0.0,10145
890,DOUBLE,0.0,12584
891,DOUBLE,0.0,9070
894,DOUBLE,0.0,11757
895,DOUBLE,0.0,8060
893,DOUBLE,0.0,6094
892,DOUBLE,0.0,9902
